geoid,Universe_Population_Total,Universe_Population_Total_MOE,Age_Under_18,Age_Under_18_MOE
26163517300,2286.0,356.0,469.0,162.3422311045404
26163518900,1926.0,344.0,519.0,149.3519333654573
26163513700,3324.0,703.0,935.0,338.38735200949816
26163505400,1954.0,529.0,489.0,177.8370040233472
26163511300,2772.0,762.0,899.0,321.8819659440398
26163508100,1456.0,364.0,397.0,209.34899092185756
26163514200,1795.0,405.0,276.0,182.08239892971534
26163516000,2408.0,575.0,426.0,167.33798134314875
26163522500,1733.0,375.0,247.0,182.46095472730596
26163530900,1138.0,299.0,127.0,83.7973746605465
26163507200,1342.0,567.0,316.0,206.22560461785534
26163506800,4267.0,808.0,1010.0,289.60662975836726
26163538900,3327.0,625.0,634.0,247.1558212949879
26163513200,1553.0,405.0,376.0,162.1172415260018
26163513900,1509.0,462.0,303.0,147.90537515587457
26163535800,4423.0,914.0,1207.0,332.8377983342637
26163505700,3119.0,515.0,896.0,222.48595461286988
26163544800,1639.0,336.0,456.0,137.42998217274132
26163985800,0.0,11.0,0.0,31.11269837220809
26163539000,2838.0,709.0,655.0,248.59605789312107
26163547100,4141.0,680.0,1022.0,282.0638225650358
26163546201,3308.0,694.0,780.0,261.34077370360717
26163543300,3871.0,844.0,1110.0,352.384732926953
26163547000,3160.0,687.0,634.0,214.90463001061656
26163547200,3852.0,563.0,1056.0,330.2983499807409
26163539100,1941.0,358.0,387.0,223.62468557831446
26163509000,1463.0,285.0,407.0,119.87493482792806
26163505800,3436.0,634.0,1006.0,178.17126592130393
26163539200,4582.0,867.0,1473.0,553.7914770019488
26163524500,101.0,105.0,26.0,34.14674215792775
26163538400,4145.0,656.0,971.0,287.87670972136664
26163538500,5364.0,725.0,1209.0,346.0332353979889
26163538600,5888.0,826.0,1706.0,498.65920226142424
26163538700,3450.0,434.0,765.0,245.23865926888445
26163537700,2558.0,481.0,419.0,152.0098681007256
26163539400,3764.0,581.0,1082.0,304.0822257219254
26163539500,3033.0,531.0,407.0,285.0491185743257
26163539600,3022.0,599.0,503.0,205.08047201037937
26163539700,2251.0,409.0,484.0,186.14241859393576
26163540100,3223.0,707.0,857.0,279.77133520073136
26163540300,4170.0,564.0,1490.0,403.098002971982
26163540400,2663.0,416.0,572.0,208.60728654579637
26163540500,2574.0,418.0,554.0,205.165786621454
26163540600,3092.0,412.0,633.0,204.04166241236126
26163540700,3258.0,705.0,681.0,223.10759736055607
26163540800,2090.0,388.0,462.0,210.43288716358
26163540900,3325.0,753.0,541.0,240.26027553467927
26163542400,2275.0,301.0,599.0,140.6698261888455
26163541200,2027.0,496.0,435.0,170.57842770995398
26163541400,2739.0,772.0,676.0,273.71700714424014
26163541700,2517.0,414.0,444.0,167.1197175679758
26163541800,2394.0,657.0,589.0,289.90170748031136
26163542100,4536.0,638.0,1017.0,290.9364191709247
26163542200,3779.0,605.0,724.0,215.56437553547664
26163542300,2570.0,590.0,669.0,193.16832038406298
26163542500,2494.0,564.0,654.0,240.66366572459583
26163542600,3323.0,700.0,1106.0,334.3112322372672
26163542900,3730.0,541.0,723.0,210.37823081298123
26163543000,1872.0,383.0,288.0,127.56566936288148
26163543100,2259.0,508.0,382.0,116.87600266949585
26163543200,3041.0,578.0,809.0,225.168825550963
26163503400,714.0,199.0,122.0,72.10409142344143
26163543400,4009.0,1102.0,1135.0,344.6055716322648
26163543500,1061.0,307.0,434.0,188.06381895516213
26163543700,2168.0,607.0,682.0,193.49418595916518
26163543900,970.0,358.0,289.0,160.90680532531866
26163544000,2561.0,451.0,696.0,245.39763650043577
26163544100,2725.0,548.0,915.0,217.49942528659702
26163544200,1615.0,258.0,475.0,180.78993334807112
26163544300,2449.0,849.0,949.0,532.6302657566504
26163545100,623.0,142.0,12.0,31.670175244226233
26163545200,2309.0,849.0,715.0,330.29532240102947
26163545500,3973.0,665.0,1507.0,395.72086121406335
26163545600,4687.0,747.0,1886.0,333.9371198294673
26163545800,5541.0,928.0,1866.0,375.01466637986306
26163505200,3373.0,622.0,812.0,340.22933442018194
26163506100,1986.0,301.0,574.0,199.07285098676815
26163506200,2111.0,591.0,595.0,262.7165773224065
26163506300,1594.0,247.0,429.0,126.2774722585149
26163506400,1529.0,206.0,229.0,107.13076122197583
26163506500,1848.0,397.0,330.0,119.01260437449471
26163506600,2849.0,835.0,650.0,257.59852484049674
26163506700,1249.0,227.0,354.0,107.56858277396798
26163506900,3450.0,788.0,903.0,315.3648680496926
26163507000,2740.0,648.0,875.0,291.9794513317675
26163507300,1608.0,400.0,86.0,82.15838362577492
26163525800,1953.0,556.0,730.0,213.82001777195697
26163507400,2639.0,728.0,836.0,316.9369022376536
26163507500,2060.0,295.0,485.0,139.8785187224972
26163524700,3732.0,678.0,812.0,365.62138887105607
26163524800,2827.0,710.0,581.0,281.3414295833445
26163525400,2086.0,524.0,607.0,178.0
26163526000,2805.0,506.0,1043.0,203.9730374338726
26163508000,1143.0,298.0,306.0,124.95999359795118
26163510600,5171.0,824.0,1529.0,304.66374907428684
26163526300,3093.0,500.0,1203.0,260.9731786985015
26163526400,1404.0,521.0,339.0,163.4900608599801
26163530100,2716.0,670.0,606.0,254.80384612481814
26163530200,3825.0,573.0,855.0,252.53910588263355
26163530300,1474.0,415.0,417.0,159.29218436571205
26163526200,2799.0,513.0,1070.0,262.7755696407107
26163530500,1879.0,363.0,372.0,178.82113968991473
26163530800,1282.0,332.0,312.0,131.7193987231949
26163531100,1143.0,473.0,179.0,55.50675634551167
26163531200,2372.0,524.0,345.0,126.10313239567049
26163531400,1465.0,459.0,302.0,160.10933764150047
26163531700,1133.0,310.0,126.0,91.03296106356203
26163500100,3622.0,904.0,827.0,316.2056292984045
26163500500,1170.0,242.0,238.0,95.89056262218926
26163500600,2704.0,579.0,686.0,245.58094388612486
26163500700,4318.0,994.0,1896.0,571.9685306028646
26163500200,2549.0,435.0,769.0,220.58785098005737
26163500300,1679.0,359.0,342.0,102.91744264214886
26163500400,1223.0,410.0,371.0,189.46239732464065
26163500800,2462.0,273.0,673.0,187.736517491936
26163500900,3877.0,1357.0,1766.0,640.0593722460441
26163501000,3056.0,1014.0,917.0,328.71111937383563
26163501100,2835.0,606.0,418.0,200.84820138602188
26163501200,1310.0,383.0,385.0,139.48476619330157
26163985500,0.0,11.0,0.0,31.11269837220809
26163501300,3431.0,822.0,920.0,302.71603855758946
26163501400,3305.0,886.0,874.0,327.07797235521684
26163985100,471.0,71.0,0.0,31.11269837220809
26163511200,1149.0,272.0,189.0,94.63614531456784
26163511900,1104.0,291.0,62.0,51.75905717843013
26163523100,1347.0,259.0,400.0,96.39502061828712
26163523400,2307.0,730.0,620.0,260.1403467361416
26163522300,1177.0,248.0,140.0,71.12664760833313
26163524200,4660.0,1018.0,1750.0,634.4470033028764
26163524300,2398.0,636.0,775.0,250.17993524661406
26163501600,1868.0,443.0,496.0,190.01578881766642
26163501500,4303.0,706.0,1530.0,362.2043622045433
26163501700,1756.0,231.0,295.0,105.6882207249228
26163502000,1901.0,440.0,568.0,164.36240446038747
26163531800,1287.0,431.0,162.0,96.63332758422428
26163538800,2091.0,608.0,533.0,286.3983240174425
26163531900,743.0,161.0,70.0,55.263007518592396
26163532600,2398.0,881.0,564.0,426.5641803996205
26163533000,1541.0,302.0,349.0,126.5029643921438
26163533100,1595.0,530.0,475.0,213.5040983213203
26163526100,2748.0,639.0,1019.0,226.6892145647869
26163533200,1033.0,339.0,262.0,107.61505470890214
26163533300,1249.0,262.0,281.0,136.16901262769
26163525700,4395.0,846.0,1151.0,348.49964131975804
26163533400,1592.0,303.0,55.0,86.06973916540005
26163533600,1421.0,347.0,355.0,93.4986630920464
26163534100,1594.0,340.0,247.0,114.15778554264269
26163516800,992.0,598.0,348.0,197.60566793490514
26163516900,2253.0,435.0,327.0,160.5801980320114
26163517000,2896.0,435.0,179.0,120.82218339361361
26163517100,1180.0,225.0,0.0,31.11269837220809
26163517200,2332.0,141.0,62.0,28.809720581775867
26163516700,3109.0,716.0,594.0,254.08659941051593
26163517500,2580.0,378.0,278.0,125.36745989290841
26163518000,2480.0,325.0,249.0,98.68637190615532
26163545700,3186.0,764.0,1295.0,423.1205501981675
26163524600,1676.0,423.0,413.0,143.6975991448709
26163546301,1523.0,372.0,370.0,135.2959718543017
26163531501,1479.0,491.0,344.0,241.51604501564694
26163984100,0.0,11.0,0.0,31.11269837220809
26163514100,2403.0,537.0,421.0,190.28925350633966
26163520200,2681.0,292.0,76.0,59.033888572581766
26163520400,1607.0,340.0,342.0,179.94999305362586
26163520700,2879.0,344.0,29.0,58.1033561853358
26163520800,1548.0,414.0,54.0,72.62919523166975
26163985300,193.0,60.0,0.0,31.11269837220809
26163521100,1598.0,288.0,226.0,83.16850365372699
26163501800,4396.0,639.0,728.0,206.194083329275
26163541300,2605.0,373.0,478.0,149.48913003961192
26163523800,4078.0,668.0,1237.0,290.85047704963455
26163534400,1677.0,344.0,450.0,147.4720312466062
26163539300,4504.0,648.0,918.0,301.09965127844305
26163521400,1207.0,236.0,218.0,75.56454194925024
26163521500,1133.0,185.0,239.0,81.70067319184096
26163521800,1758.0,342.0,439.0,148.77163708180402
26163521900,2778.0,297.0,494.0,208.6719914123599
26163531300,1170.0,375.0,192.0,148.6640507991088
26163504000,1119.0,238.0,317.0,136.01470508735443
26163502600,3399.0,721.0,741.0,243.29611587528478
26163527900,1980.0,387.0,563.0,155.6727336433712
26163502700,2395.0,357.0,616.0,169.7822134382751
26163984200,0.0,11.0,0.0,31.11269837220809
26163512800,2441.0,428.0,1017.0,226.54138694728607
26163519300,1598.0,323.0,116.0,69.03622237637282
26163513800,2498.0,382.0,712.0,207.57408316068748
26163523300,2922.0,675.0,842.0,236.55020608741816
26163507100,1718.0,383.0,453.0,151.21177202850313
26163531600,1843.0,421.0,646.0,173.22817322825983
26163520300,2488.0,384.0,132.0,92.11405973031478
26163515300,3270.0,453.0,386.0,149.39544839117423
26163541100,1814.0,598.0,521.0,265.1377000729998
26163516400,893.0,184.0,50.0,48.36320915737499
26163535700,1344.0,396.0,316.0,124.27389106324787
26163503300,3225.0,535.0,849.0,293.4637967450159
26163530400,1186.0,375.0,439.0,204.48960853794014
26163541000,4253.0,1418.0,1125.0,431.4684229465698
26163523200,2984.0,816.0,1142.0,330.9033091402986
26163532400,1286.0,457.0,206.0,114.41153787970862
26163532700,437.0,104.0,100.0,56.586217403180434
26163533800,1694.0,370.0,269.0,116.4474130240771
26163509100,4476.0,640.0,1033.0,213.74751460543348
26163531502,823.0,328.0,293.0,162.83120094134293
26163524101,3484.0,612.0,1029.0,374.56641600656087
26163525900,2428.0,334.0,821.0,190.33129012330053
26163524001,2538.0,559.0,716.0,190.49409439665052
26163501900,2581.0,596.0,972.0,273.6622005319697
26163536100,3270.0,649.0,1098.0,365.74854750224233
26163522800,1359.0,265.0,296.0,100.89598604503551
26163532100,2182.0,380.0,424.0,131.88631468048533
26163519100,1085.0,270.0,164.0,101.35087567455942
26163519000,852.0,183.0,68.0,85.27015890685323
26163535600,4663.0,997.0,1141.0,276.8916755700684
26163519200,1610.0,405.0,292.0,89.55445270895244
26163534800,1961.0,536.0,547.0,239.8124267005361
26163505600,4246.0,848.0,1185.0,320.4559252065719
26163535100,1477.0,400.0,373.0,137.4445342674637
26163546000,2723.0,527.0,845.0,222.63872080121195
26163540200,2784.0,744.0,780.0,234.8297255459794
26163534200,3201.0,730.0,1030.0,306.67083330502754
26163534300,1035.0,177.0,171.0,76.44605941446557
26163534700,2694.0,800.0,566.0,227.98464860599717
26163535000,2770.0,829.0,618.0,215.77071163621812
26163535200,1973.0,510.0,607.0,204.2033300414075
26163535300,3769.0,730.0,971.0,293.1671877956331
26163536200,2123.0,400.0,585.0,192.47857023575378
26163536300,2383.0,699.0,844.0,376.7505806233084
26163536400,2442.0,610.0,777.0,242.81268500636452
26163536500,1986.0,487.0,618.0,240.52650581588716
26163536600,2466.0,597.0,432.0,210.06665608801413
26163536700,1047.0,360.0,208.0,137.35719857364595
26163537600,3447.0,901.0,1002.0,328.9316038327725
26163536800,1818.0,486.0,658.0,257.8197044447922
26163536900,3086.0,428.0,899.0,258.5614046991546
26163537000,3146.0,1601.0,454.0,210.24509506763766
26163537100,2220.0,477.0,648.0,182.90981384277882
26163537200,620.0,405.0,96.0,135.44740676735012
26163537300,1646.0,492.0,297.0,160.86018774078315
26163537500,2921.0,604.0,661.0,233.35166594648516
26163537800,1308.0,269.0,376.0,146.3249807790864
26163538100,2205.0,510.0,198.0,82.58934555982388
26163538200,1808.0,204.0,325.0,80.80222769206304
26163538300,2010.0,599.0,484.0,266.97752714413997
26163985200,0.0,11.0,0.0,31.11269837220809
26163545900,4380.0,1130.0,1612.0,510.51836401837693
26163546100,3722.0,787.0,1143.0,380.33406368612316
26163546700,2828.0,495.0,708.0,251.30061679192116
26163516600,2051.0,536.0,617.0,313.22036970797416
26163522000,1647.0,404.0,337.0,145.17575555167605
26163503100,3126.0,600.0,616.0,179.89719286303497
26163503200,2315.0,539.0,501.0,226.74214429611447
26163503500,1964.0,460.0,599.0,224.24540129063962
26163503600,1420.0,332.0,302.0,117.69027147559818
26163503900,2098.0,652.0,709.0,293.49446332086063
26163504100,1367.0,382.0,363.0,154.39883419248994
26163504200,1841.0,425.0,490.0,136.2240801033356
26163504300,1969.0,349.0,387.0,104.97142468310126
26163504400,1690.0,298.0,499.0,154.1460346554526
26163505100,2889.0,706.0,330.0,191.4993472573732
26163514300,2668.0,581.0,929.0,272.54173992253004
26163514500,744.0,175.0,213.0,81.36952746575342
26163515200,1448.0,501.0,142.0,70.9154426059656
26163515400,1471.0,235.0,288.0,111.14405067298924
26163515700,3034.0,466.0,0.0,31.11269837220809
26163516500,2095.0,289.0,66.0,49.42671342502959
26163526500,1295.0,562.0,486.0,213.46662502602135
26163541500,3871.0,559.0,1012.0,342.8833620927093
26163546600,1764.0,462.0,328.0,134.39121995130486
26163985900,0.0,11.0,0.0,31.11269837220809
26163985000,0.0,11.0,0.0,31.11269837220809
26163533900,2561.0,462.0,123.0,90.160967164289
26163511400,1877.0,391.0,304.0,133.22537295875736
26163522400,882.0,265.0,206.0,93.16651759081692
26163981700,0.0,11.0,0.0,31.11269837220809
26163981800,0.0,11.0,0.0,31.11269837220809
26163985500,0.0,11.0,0.0,31.11269837220809
26163513300,2282.0,307.0,290.0,122.68251709188233
26163983600,0.0,11.0,0.0,31.11269837220809
